Coin,Sentiment,Closed PnL
MAVIA,Greed,26.507348914285714
MAVIA,Neutral,10.57011431060606
ME,Extreme Greed,1.01167325
ME,Fear,76.98959780000001
ME,Greed,35.11583722077922
ME,Neutral,-25.218051969230768
MELANIA,Extreme Fear,218.3389399058296
MELANIA,Extreme Greed,-70.39914285338345
MELANIA,Fear,99.16832457783376
MELANIA,Greed,59.74857865475223
MELANIA,Neutral,82.596900092
MEME,Extreme Greed,50.29293681690141
MEME,Fear,-8.262227214285714
MEME,Greed,46.61461672222222
MEME,Neutral,40.7524965
MERL,Greed,-1.58682
MEW,Extreme Greed,3.1181253333333334
MEW,Greed,0.0
MEW,Neutral,4.398952
MINA,Greed,24.8380625
MKR,Extreme Fear,3.6856715384615386
MKR,Fear,53.338284
MKR,Greed,0.2392349090909091
MKR,Neutral,0.8470147142857143
MNT,Extreme Greed,-2.632147125
MOODENG,Extreme Greed,165.81321867010308
MOODENG,Fear,4.248723
MOODENG,Greed,11.354606833333333
MOODENG,Neutral,3.420525
MORPHO,Extreme Fear,2.530602
MORPHO,Extreme Greed,13.2188331
MOVE,Extreme Greed,5.68415
MOVE,Fear,31.254018294117646
MOVE,Greed,-3.518914566666667
MOVE,Neutral,0.10042360000000002
MYRO,Extreme Greed,3.9381946153846155
MYRO,Greed,0.0
MYRO,Neutral,2.28114
NEAR,Extreme Greed,68.88272458823529
NEAR,Greed,31.56630973529412
NEAR,Neutral,1.6059750000000002
NEIROETH,Extreme Greed,34.161578
NEIROETH,Greed,0.0
NIL,Neutral,-14.049883340707964
NTRN,Extreme Greed,15.8068195
NTRN,Greed,15.254354902777777
NTRN,Neutral,26.75845885714286
OGN,Neutral,6.793288457364341
OM,Extreme Fear,0.0
OM,Fear,4.2528486800000005
OM,Neutral,-67.80042615384615
ONDO,Extreme Fear,0.0
ONDO,Extreme Greed,22.29301884818482
ONDO,Fear,12.850544047528517
ONDO,Greed,53.139537999999995
ONDO,Neutral,2.8180218275862066
OP,Extreme Fear,1.5649133333333332
OP,Extreme Greed,36.49239496969697
OP,Fear,95.90256220689656
OP,Greed,0.5733316363636364
OP,Neutral,3.167872423076923
ORDI,Extreme Greed,1.4359136799999999
ORDI,Greed,4.549698571428571
PAXG,Extreme Fear,1.1548158274509805
PAXG,Fear,-0.46070850574712646
PAXG,Neutral,-81.70532429613735
PENDLE,Extreme Fear,-9.03731672
PENDLE,Extreme Greed,10.045066935779817
PENDLE,Fear,12.718033527439026
PENDLE,Greed,3.5418962319999996
PENDLE,Neutral,9.858052403508772
PENGU,Extreme Fear,0.0
PENGU,Extreme Greed,4.166716381987578
PENGU,Fear,-16.98377384782609
PENGU,Greed,13.90658794736842
PENGU,Neutral,11.642146922330097
PEOPLE,Extreme Greed,360.646005
PEOPLE,Neutral,0.0
PIXEL,Extreme Greed,19.45
PIXEL,Greed,13.527800000000001
PNUT,Extreme Fear,1855.649224
PNUT,Extreme Greed,31.4077196875
PNUT,Greed,19.17567395151515
PNUT,Neutral,98.4738976
POLYX,Extreme Greed,44.15240592857143
POPCAT,Extreme Fear,0.0
POPCAT,Extreme Greed,3.183741285714286
POPCAT,Fear,16.560698947368422
POPCAT,Greed,-17.81563021415608
POPCAT,Neutral,-0.08106288347457612
PROMPT,Fear,6.179157848101266
PROMPT,Greed,55.14337963888889
PROMPT,Neutral,-9.533896
PURR,Extreme Fear,15.190076727272725
PURR,Extreme Greed,31.490535888501746
PURR,Fear,25.8415540308642
PURR,Greed,10.521786917460316
PURR,Neutral,7.522074455882353
PURR/USDC,Extreme Fear,-62.336246700000004
PURR/USDC,Extreme Greed,52.369316495270276
PURR/USDC,Fear,0.2534575828571428
PURR/USDC,Greed,17.628207315294116
PURR/USDC,Neutral,-65.0103807037037
